month,gross_sales_jpy,payout_date,status,source_document,source_image,notes
2025-12,1490,2026-01-30,paid,note_sales_history_compiled.docx.zip,image1.png,processed sales table; July 2026 in-progress amount excluded
2026-01,1300,2026-02-27,paid,note_sales_history_compiled.docx.zip,image1.png,processed sales table; July 2026 in-progress amount excluded
2026-02,49774,2026-03-31,paid,note_sales_history_compiled.docx.zip,image1.png,processed sales table; July 2026 in-progress amount excluded
2026-03,45110,2026-04-30,paid,note_sales_history_compiled.docx.zip,image1.png,processed sales table; July 2026 in-progress amount excluded
2026-04,28670,2026-05-29,paid,note_sales_history_compiled.docx.zip,image1.png,processed sales table; July 2026 in-progress amount excluded
2026-05,55052,2026-06-30,paid,note_sales_history_compiled.docx.zip,image1.png,processed sales table; July 2026 in-progress amount excluded
2026-06,18700,2026-07-31,pending,note_sales_history_compiled.docx.zip,image1.png,processed sales table; July 2026 in-progress amount excluded
